,Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,MarketCap
109,NEXITY,FR0010112524,NXI,Euronext Paris,EUR,38.58,39.10,38.08,38.22,2021-11-26 17:39:00,CET,119110,4576578.94,2.145
110,BIC,FR0000120966,BB,Euronext Paris,EUR,46.20,46.26,45.20,45.56,2021-11-26 17:35:00,CET,64680,2953002.70,2.068
111,VOLTALIA,FR0011995588,VLTSA,Euronext Paris,EUR,20.40,20.65,20.10,20.20,2021-11-26 17:35:00,CET,24346,494133.65,1.927
112,CARMILA,FR0010828137,CARM,Euronext Paris,EUR,13.20,13.46,12.88,13.00,2021-11-26 17:35:00,CET,45206,593923.34,1.901
113,ID LOGISTICS GROUP,FR0010929125,IDL,Euronext Paris,EUR,333.00,337.50,326.00,334.00,2021-11-26 17:35:00,CET,1636,545772.50,1.895
114,TF1,FR0000054900,TFI,Euronext Paris,EUR,8.30,8.54,8.00,8.40,2021-11-26 17:35:00,CET,645408,5403007.93,1.768
115,IPSOS,FR0000073298,IPS,Euronext Paris,EUR,39.45,39.90,38.50,39.65,2021-11-26 17:35:00,CET,88275,3485502.55,1.762
116,BELIEVE,FR0014003FE9,BLV,Euronext Paris,EUR,19.35,19.456,18.01,18.284,2021-11-26 17:35:00,CET,121880,2294282.058,1.753
117,COFACE,FR0010667147,COFA,Euronext Paris,EUR,11.81,11.94,11.47,11.64,2021-11-26 17:37:00,CET,332858,3895291.17,1.748
118,EXCLUSIVE NETWORKS,FR0014005DA7,EXN,Euronext Paris,EUR,19.002,19.50,18.99,19.002,2021-11-26 17:35:00,CET,3949,75840.028,1.738
119,LDC,FR0013204336,LOUP,Euronext Paris,EUR,96.40,96.80,93.00,95.40,2021-11-26 17:29:00,CET,4080,390777.80,1.682
120,VICAT,FR0000031775,VCT,Euronext Paris,EUR,36.10,36.25,35.10,35.10,2021-11-26 17:36:00,CET,49285,1750081.45,1.576
121,ARTOIS NOM.,FR0000076952,ARTO,Euronext Paris,EUR,5700.00,5700.00,5700.00,5700.00,2021-11-26 11:30:00,CET,1,5700.00,1.517
122,ARAMIS GROUP,FR0014003U94,ARAMI,Euronext Paris,EUR,17.84,18.08,17.46,17.60,2021-11-26 17:39:00,CET,86475,1537536.58,1.458
123,FNAC DARTY,FR0011476928,FNAC,Euronext Paris,EUR,52.60,54.30,51.25,53.40,2021-11-26 17:35:00,CET,83490,4434177.75,1.429
124,PHARMAGEST INTER.,FR0012882389,PHA,Euronext Paris,EUR,84.80,87.60,82.80,86.00,2021-11-26 17:35:00,CET,17102,1469226.00,1.305
125,VILMORIN & CIE,FR0000052516,RIN,Euronext Paris,EUR,55.80,55.80,54.50,55.00,2021-11-26 17:35:00,CET,10107,557378.70,1.26
126,BURELLE,FR0000061137,BUR,Euronext Paris,EUR,698.00,704.00,682.00,690.00,2021-11-26 17:23:00,CET,363,252012.00,1.213
127,LISI,FR0000050353,FII,Euronext Paris,EUR,23.55,23.55,22.25,22.25,2021-11-26 17:35:00,CET,24136,548357.90,1.204
128,ALBIOMA,FR0000060402,ABIO,Euronext Paris,EUR,32.82,33.86,32.82,33.66,2021-11-26 17:35:00,CET,59461,1992413.88,1.079
129,ACCOR NV21,FR00140015P7,ACNV,Euronext Paris,EUR,-,-,-,-,-,CET,-,-,0.0
130,ROBERTET CDV 87,FR0000045619,CBR,Euronext Paris,EUR,194.00,194.00,194.00,194.00,2021-04-16 11:30:00,CET,1,194.00,
131,ROBERTET CI,FR0000045601,CBE,Euronext Paris,EUR,942.00,942.00,942.00,942.00,2021-11-26 16:30:00,CET,21,19782.00,
132,SOLUTIONS 30 SE,FR0013379484,S30,Euronext Paris,EUR,6.55,6.66,6.28,6.515,2021-11-26 17:37:00,CET,1674939,10875511.39,
133,UNIBAIL-RODAMCO-WE,FR0013326246,URW,"Euronext Amsterdam, Paris",EUR,60.75,61.51,56.50,58.46,2021-11-26 17:36:00,CET,2344964,138885550.99,
